[0. 0.]
[0.07846212 0.9872973 ]
[0.07471771 0.98834229]
[0.07080692 0.98908043]
[0.06678766 0.98960882]
[0.06270121 0.99000984]
[0.05861584 0.99023682]
[0.05454997 0.99040884]
[0.05053195 0.99052465]
[0.0465716  0.99061805]
[0.04278099 0.99059415]
[0.03920842 0.99051189]
[0.03586981 0.99039602]
[0.03275501 0.99026614]
[0.02982079 0.99013484]
[0.0270458  0.99000204]
[0.02441526 0.98987067]
[0.02191813 0.98974079]
[0.01954488 0.989613  ]
[0.01728704 0.98948765]
[0.01513712 0.98936427]
[0.01304286 0.98923874]
[0.01098279 0.98911405]
[0.00894939 0.98898852]
[0.00693906 0.98886234]
[0.00494975 0.98873454]
[0.00297982 0.98860526]
[0.00103368 0.98847377]
[-8.73155543e-04  9.88339722e-01]
[-0.00273733  0.98820388]
[-0.00455881  0.98806655]
[-0.00633688  0.98791623]
[-0.00807335  0.9877584 ]
[-0.00976876  0.98759544]
[-0.01142386  0.98742878]
[-0.01303945  0.98725981]
[-0.01461645  0.9870891 ]
[-0.01615214  0.98691565]
[-0.01763523  0.98673707]
[-0.01906426  0.98655713]
[-0.0204397   0.98636395]
[-0.02176627  0.98612493]
[-0.02305092  0.98587656]
[-0.02429016  0.98561078]
[-0.02548494  0.98533916]
[-0.02663361  0.98505992]
[-0.02772787  0.98477799]
[-0.02876604  0.98449308]
[-0.0297491   0.98420781]
[-0.0306787   0.98392326]
[-0.03155664  0.98364049]
[-0.03238478  0.98336017]
[-0.0331678   0.98308486]
[-0.03390957  0.98281419]
[-0.03461242  0.9825483 ]
[-0.03527811  0.98228663]
[-0.03590825  0.98202926]
[-0.03650427  0.981776  ]
[-0.03706762  0.98152709]
[-0.03760184  0.981287  ]
[-0.03810861  0.98105311]
[-0.03861845  0.98077464]
[-0.03915059  0.98048449]
[-0.03970357  0.9801656 ]
[-0.04027991  0.97982448]
[-0.04087897  0.9794538 ]
[-0.04150172  0.9790532 ]
[-0.04214815  0.97861767]
[-0.04281865  0.97814405]
[-0.04351319  0.9776268 ]
[-0.04423181  0.97706068]
[-0.04497425  0.97643852]
[-0.0457402   0.97575212]
[-0.04652772  0.97499096]
[-0.04732156  0.9741416 ]
[-0.04811631  0.97318912]
[-0.04890823  0.97211802]
[-0.04969309  0.97090524]
[-0.05046675  0.96952146]
[-0.05122458  0.96792519]
[-0.05196195  0.96605814]
[-0.0526742   0.96383494]
[-0.05335731  0.96112621]
[-0.05399177  0.95854264]
[-0.05447153  0.95631528]
[-0.05474425  0.95419306]
[-0.05484703  0.95223302]
[-0.05477935  0.95035475]
[-0.05455345  0.9485507 ]
[-0.05417357  0.9468143 ]
[-0.05364212  0.94514543]
[-0.05298528  0.94375873]
[-0.05220853  0.94279742]
[-0.05128797  0.94207513]
[-0.05024716  0.94160581]
[-0.04908578  0.94132352]
[-0.04781167  0.94121546]
[-0.04642539  0.94125116]
[-0.04492849  0.94141573]
[-0.04331996  0.9416914 ]
[-0.04159847  0.94206578]
[-0.03982984  0.94261307]
[-0.03810597  0.94341409]
[-0.03644714  0.94442081]
[-0.03486175  0.94563377]
[-0.03333519  0.94700897]
[-0.03188131  0.94851977]
[-0.03051248  0.95012075]
[-0.02924191  0.95176852]
[-0.02808103  0.95341516]
[-0.02703935  0.95501733]
[-0.02612329  0.95653665]
[-0.02534696  0.95823956]
[-0.02468727  0.96024126]
[-0.02412746  0.96238846]
[-0.02365836  0.96505445]
[-0.0232265   0.96778446]
[-0.02289646  0.97070867]
[-0.02266699  0.97346205]
[-0.02259263  0.9760403 ]
[-0.02267959  0.97823417]
[-0.02294678  0.98003131]
[-0.02337876  0.98138112]
[-0.02396254  0.98237616]
[-0.02466595  0.98305631]
[-0.02546035  0.98349959]
[-0.02631237  0.98375463]
[-0.0271966   0.98387176]
[-0.02809184  0.98388469]
[-0.02898253  0.98382258]
[-0.02985694  0.98370522]
[-0.03070703  0.98354816]
[-0.03152723  0.98336256]
[-0.03231403  0.98315698]
[-0.03306787  0.98293918]
[-0.03378939  0.98271322]
[-0.03447864  0.98248208]
[-0.03513568  0.98224765]
[-0.03576082  0.98201185]
[-0.03635473  0.98177552]
[-0.0369181   0.98154008]
[-0.03745331  0.98130912]
[-0.03796237  0.98108333]
[-0.03846522  0.98082864]
[-0.03898621  0.98054695]
[-0.0395298  0.9802435]
