TR,A,L,T,Force,Disp
1,120,300,2,9.537670136,106.4882202
1,120,300,2,9.957584381,107.2476349
1,120,300,2,10.42061234,108.0056763
1,120,300,2,10.91303062,108.7637253
1,120,300,2,11.58069229,109.5217667
1,120,300,2,12.00588417,110.2798157
1,120,300,2,11.00620365,111.0378571
1,120,300,2,10.05355263,111.7958984
1,120,300,2,9.372857094,112.5539475
1,120,300,2,8.74995327,113.3119888
1,120,300,2,8.455975533,114.0700378
1,120,300,2,8.157842636,114.8280792
1,120,300,2,7.836434841,115.5861282
1,120,300,2,7.524059296,116.3441696
1,120,300,2,7.261509419,117.1022186
1,120,300,2,7.006262302,117.86026
1,120,300,2,6.79080677,118.618309
1,120,300,2,6.58075428,119.3763504
1,120,300,2,6.399786472,120.1343994
1,120,300,2,6.23540926,120.8924408
1,120,300,2,6.159254074,121.6504898
1,120,300,2,6.08460331,122.4083481
1,120,300,2,6.017737865,123.1653137
1,120,300,2,5.934459686,123.9222794
1,120,300,2,5.76732111,124.6792374
1,120,300,2,5.604778767,125.436203
1,120,300,2,5.465451717,126.1931686
1,120,300,2,5.336504459,126.9501267
1,120,300,2,5.259382248,127.7070923
1,120,300,2,5.171063423,128.4640503
1,120,300,2,5.027549744,129.2210236
1,120,300,2,4.896175385,129.9779816
1,120,300,2,4.823972225,130.7349396
1,120,300,2,4.737511158,131.4919128
1,120,300,2,4.583190918,132.2488709
1,120,300,2,4.431654453,133.0058289
1,120,300,2,4.293222427,133.7628021
1,120,300,2,4.162679195,134.5197601
1,120,300,2,4.068865299,135.2767181
1,120,300,2,3.940091848,136.0336914
1,120,300,2,3.650093317,136.7906494
1,120,300,2,3.380378246,137.5475159
1,120,300,2,3.20209074,138.3039246
1,120,300,2,3.017586231,139.060318
1,120,300,2,2.805283546,139.8167267
1,120,300,2,2.585094929,140.5731354
1,120,300,2,2.33038497,141.3295441
1,120,300,2,2.097619534,142.0859375
1,120,300,2,1.960163832,142.8423462
1,120,300,2,1.821327925,143.5987549
1,120,300,2,1.676612496,144.3551636
1,120,300,2,1.536872029,145.1115723
1,120,300,2,1.418213844,145.8679657
1,120,300,2,1.286624074,146.6243744
1,120,300,2,1.101142407,147.3807831
1,120,300,2,0.922080934,148.1371918
1,120,300,2,0.769641757,148.8936005
1,120,300,2,0.625735879,149.6499939
1,120,300,2,0.516591072,150.4064026
1,120,300,2,0.409471244,151.1628113
1,120,300,2,0.310468256,151.91922
1,120,300,2,0.213608488,152.6755981
1,120,300,2,0.125307471,153.4319153
1,120,300,2,0.049295787,154.1882324
1,120,300,2,0.021816794,154.9445343
1,120,300,2,0,155.7008514
1,120,300,2,0,156.4571686
1,120,300,2,0,157.2134705
1,120,300,2,0,157.9697876
1,120,300,2,0,158.7261047
1,120,300,2,0,159.4824066
1,120,300,2,0,160.2387238
1,120,300,2,0,160.9950256
1,120,300,2,0,161.7513428
1,120,300,2,0,162.5076599
1,120,300,2,0,163.2639618
1,120,300,2,0,164.0202789
1,120,300,2,0,164.7765961
1,120,300,2,0,165.532898
1,120,300,2,0,166.2892151
1,120,300,2,0,167.0455322
1,120,300,2,0,167.8018341
1,120,300,2,0,168.5581513
1,120,300,2,0,169.3144684
1,120,300,2,0,170.0707703
1,120,300,2,0,170.8270874
1,120,300,2,0,171.5834045
1,120,300,2,0,172.3397064
1,120,300,2,0,173.0960236
1,120,300,2,0,173.8523407
1,120,300,2,0,174.6086426
1,120,300,2,0,175.3649597
1,120,300,2,0,176.1212769
1,120,300,2,0,176.8775787
1,120,300,2,0,177.6338959
1,120,300,2,0,178.3901978
1,120,300,2,0,179.1465149
1,120,300,2,0,179.902832
1,120,300,2,0,180.6591339
1,120,300,2,0,181.4154511
1,120,300,2,0,182.1717682
